id,name,now_cost,team,element_type,status
804,Max Abmas,45,26,1,u
309,Zyon Pullin,45,27,1,i
670,Jay Huff,41,27,2,a
672,Lamar Stevens,55,27,2,a
673,Scotty Pippen Jr.,80,27,1,a
674,Yuta Watanabe,50,27,1,u
675,Jack White,45,27,2,u
676,Victor Oladipo,60,27,1,u
677,Shaquille Harrison,45,27,1,u
679,Luke Kennard,85,27,1,a
680,Derrick Rose,55,27,1,u
681,Jaren Jackson Jr.,140,27,2,a
682,Ja Morant,149,27,1,a
683,Desmond Bane,144,27,1,a
684,Brandon Clarke,94,27,2,u
685,John Konchar,74,27,1,a
687,Santi Aldama,95,27,2,a
688,Vince Williams Jr.,94,27,1,a
689,Isaiah Todd,45,27,2,u
690,GG Jackson,90,27,2,a
691,Zavier Simpson,50,27,1,u
692,Wenyen Gabriel,45,27,2,u
693,Matt Hurt,45,27,2,u
694,Mychal Mulder,45,27,1,u
695,Timmy Allen,45,27,2,u
697,David Johnson,45,27,1,u
698,DeJon Jarreau,50,27,1,u
699,Maozinha Pereira,45,27,2,u
700,Zach Edey,60,27,2,a
701,Cam Spencer,45,27,1,a
702,Jaylen Wells,45,27,2,a
703,Miye Oni,45,27,1,u
704,Armando Bacot,45,27,2,u
705, ,45,27,2,u
